 EQUATION NUMBER
 ---------------------
     node   dof    eqn
     28      1      1
     28      2      2
     28      3      3
     29      1      4
     29      2      5
     29      3      6
     30      1      7
     30      2      8
     30      3      9
     31      1     10
     31      2     11
     31      3     12
     32      1     13
     32      2     14
     32      3     15
     33      1     16
     33      2     17
     33      3     18
     34      1     19
     34      2     20
     34      3     21
     35      1     22
     35      2     23
     35      3     24
     36      1     25
     36      2     26
     36      3     27
     37      1     28
     37      2     29
     37      3     30
     38      1     31
     38      2     32
     38      3     33
     39      1     34
     39      2     35
     39      3     36
     40      1     37
     40      2     38
     40      3     39
     41      1     40
     41      2     41
     41      3     42
     42      1     43
     42      2     44
     42      3     45
     43      1     46
     43      2     47
     43      3     48
     44      1     49
     44      2     50
     44      3     51
     45      1     52
     45      2     53
     45      3     54
     46      1     55
     46      2     56
     46      3     57
     47      1     58
     47      2     59
     47      3     60
     48      1     61
     48      2     62
     48      3     63
     49      1     64
     49      2     65
     49      3     66
     50      1     67
     50      2     68
     50      3     69
     51      1     70
     51      2     71
     51      3     72
     52      1     73
     52      2     74
     52      3     75
     53      1     76
     53      2     77
     53      3     78
     54      1     79
     54      2     80
     54      3     81
     55      1     82
     55      2     83
     55      3     84
     56      1     85
     56      2     86
     56      3     87
     57      1     88
     57      2     89
     57      3     90
     58      1     91
     58      2     92
     58      3     93
     59      1     94
     59      2     95
     59      3     96
     60      1     97
     60      2     98
     60      3     99
     61      1    100
     61      2    101
     61      3    102
     62      1    103
     62      2    104
     62      3    105
     63      1    106
     63      2    107
     63      3    108
     64      1    109
     64      2    110
     64      3    111
     65      1    112
     65      2    113
     65      3    114
     66      1    115
     66      2    116
     66      3    117
     67      1    118
     67      2    119
     67      3    120
     68      1    121
     68      2    122
     68      3    123
     69      1    124
     69      2    125
     69      3    126
     70      1    127
     70      2    128
     70      3    129
     71      1    130
     71      2    131
     71      3    132
     72      1    133
     72      2    134
     72      3    135
     73      1    136
     73      2    137
     73      3    138
     74      1    139
     74      2    140
     74      3    141
     75      1    142
     75      2    143
     75      3    144
     76      1    145
     76      2    146
     76      3    147
     77      1    148
     77      2    149
     77      3    150
     78      1    151
     78      2    152
     78      3    153
     79      1    154
     79      2    155
     79      3    156
     80      1    157
     80      2    158
     80      3    159
     81      1    160
     81      2    161
     81      3    162
     82      1    163
     82      2    164
     82      3    165
     83      1    166
     83      2    167
     83      3    168
     84      1    169
     84      2    170
     84      3    171
     85      1    172
     85      2    173
     85      3    174
     86      1    175
     86      2    176
     86      3    177
     87      1    178
     87      2    179
     87      3    180
     88      1    181
     88      2    182
     88      3    183
     89      1    184
     89      2    185
     89      3    186
     90      1    187
     90      2    188
     90      3    189
     91      1    190
     91      2    191
     91      3    192
     92      1    193
     92      2    194
     92      3    195
     93      1    196
     93      2    197
     93      3    198
     94      1    199
     94      2    200
     94      3    201
     95      1    202
     95      2    203
     95      3    204
     96      1    205
     96      2    206
     96      3    207
     97      1    208
     97      2    209
     97      3    210
     98      1    211
     98      2    212
     98      3    213
     99      1    214
     99      2    215
     99      3    216
    100      1    217
    100      2    218
    100      3    219
    101      1    220
    101      2    221
    101      3    222
    102      1    223
    102      2    224
    102      3    225
    103      1    226
    103      2    227
    103      3    228
    104      1    229
    104      2    230
    104      3    231
    105      1    232
    105      2    233
    105      3    234
    106      1    235
    106      2    236
    106      3    237
    107      1    238
    107      2    239
    107      3    240
    108      1    241
    108      2    242
    108      3    243
    109      1    244
    109      2    245
    109      3    246
    110      1    247
    110      2    248
    110      3    249
    111      1    250
    111      2    251
    111      3    252
    112      1    253
    112      2    254
    112      3    255
    113      1    256
    113      2    257
    113      3    258
    114      1    259
    114      2    260
    114      3    261
    115      1    262
    115      2    263
    115      3    264
    116      1    265
    116      2    266
    116      3    267
    117      1    268
    117      2    269
    117      3    270
    118      1    271
    118      2    272
    118      3    273
    119      1    274
    119      2    275
    119      3    276
    120      1    277
    120      2    278
    120      3    279
    121      1    280
    121      2    281
    121      3    282
    122      1    283
    122      2    284
    122      3    285
    123      1    286
    123      2    287
    123      3    288
    124      1    289
    124      2    290
    124      3    291
    125      1    292
    125      2    293
    125      3    294
    126      1    295
    126      2    296
    126      3    297
    127      1    298
    127      2    299
    127      3    300
    128      1    301
    128      2    302
    128      3    303
    129      1    304
    129      2    305
    129      3    306
